Timestamp,Device,Action
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
